Class,REL_1_5_1,REL_2_5_1,REL_3_0,REL_3_1_FINAL,REL_3_2_FINAL,REL_3_5-FINAL,REL_3_6,REL_3_7,REL_3_8_FINAL,REL_3_9,REL_3_10_FINAL,REL_3_11_FINAL,REL_3_12_FINAL,REL_3_13_FINAL,REL_3_14_FINAL,REL_3_15_FINAL,REL_3_16_FINAL,REL_3_17_FINAL,REL_4_0_0_FINAL,REL_4_1_0,REL_5_0_0,REL_5_1_0,REL_5_2_0,REL_5_2_2,average
src/scratchpad/src/org/apache/poi/hwpf/model/LSTF.java,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,3.666666667
src/testcases/org/apache/poi/ss/formula/functions/TestMid.java,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,18,116,0,0,10.16666667
poi-ooxml/src/main/java/org/apache/poi/xdgf/usermodel/section/geometry/RelEllipticalArcTo.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,5.875
poi-scratchpad/src/main/java/org/apache/poi/hwpf/model/Grfhic.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,2
poi/src/test/java/org/apache/poi/poifs/property/TestDocumentProperty.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,6.416666667
poi/src/main/java/org/apache/poi/ss/formula/ptg/UnaryPlusPtg.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,2.166666667
poi/src/test/java/org/apache/poi/POITestCase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,6.666666667
trunk/poi-scratchpad/src/main/java/org/apache/poi/hslf/record/ColorSchemeAtom.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,235,0,19.58333333
poi/src/main/java/org/apache/poi/poifs/property/PropertyTable.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,11,0,11.125
poi/src/main/java/org/apache/poi/hssf/record/CFRule12Record.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,10,0,20.79166667
poi/src/main/java/org/apache/poi/poifs/crypt/xor/XOREncryptionVerifier.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,3.125
poi/src/test/java/org/apache/poi/ss/formula/functions/TestEDate.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,5.291666667
poi-scratchpad/src/main/java/org/apache/poi/hwpf/usermodel/Fields.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1.291666667
